Name,"Short Name"
"Rocket Returns",rocket_returns
"Bust The Bank",bust_the_bank
"Siberian Storm",siberian_storm
WinterBerries,winterberries
"Secrets of Christmas",secrets_of_christmas
"A Dragon's Story",a_dragons_story
Narcos,narcos
"Pixies of the Forest",pixies_of_the_forest
"Cash Clams",cash_clams
Aliens,aliens
"Lil Devil",lil_devil
Sparks,sparks
"Wild Wild West: The Great Train Heist",wild_wild_west_the_great_train_heist
"Pillars of Asgard",pillars_of_asgard
"A Night in Paris",a_night_in_paris
"Mighty Black Knight",mighty_black_knight
"Bars and Stripes",bars_and_stripes
"Burning Desire",burning_desire
"Devils Delight",devils_delight
"Three musketeers",three_musketeers
"Alien Cash Attack",alien_cash_attack
"The Wild Chase",the_wild_chase
"Tahiti Gold",tahiti_gold
"Sails of Gold",sails_of_gold
"Super Monopoly Money",super_monopoly_money
"Spinions Beach Party",spinions_beach_party
"White Rabbit",white_rabbit
"Gypsy Moon",gypsy_moon
Poltava,poltava
"Fruit Shop Christmas Edition",fruit_shop_christmas_edition
"Jungle Jim and the Lost Sphinx",jungle_jim_and_the_lost_sphinx
"Bikini Party",bikini_party
"""The 50",the_50000_pyramid
"Reel Rush",reel_rush
Arcader,arcader
"Three Wishes",three_wishes
"Cosmic Fortune",cosmic_fortune
"The Rift",the_rift
"Hidden Valley",hidden_valley
Alchymedes,alchymedes
"Holy Diver",holy_diver
"Tales of Krakow",tales_of_krakow
"Nordic Vikings",nordic_vikings
"Lilith's Inferno",liliths_inferno
"Lucky Fairy",lucky_fairy
"Village People Macho Moves",village_people_macho_moves
"Clash of Queens",clash_of_queens
"Cash & Carry",cash_carry
"Legend of the Golden Monkey",legend_of_the_golden_monkey
"Second Strike",second_strike
"Divine Dreams",divine_dreams
"Bunny Boiler Gold",bunny_boiler_gold
"Easter Island",easter_island
"Untamed Giant Panda",untamed_giant_panda
Tombstone,tombstone
"Mega Joker",mega_joker
Montezuma,montezuma
"Avalon II: Quest for the Grail",avalon_ii_quest_for_the_grail
"Midnight Racer",midnight_racer
"Wild Chase: Tokyo Go",wild_chase_tokyo_go
Astronomical,astronomical
"Golden Caravan",golden_caravan
"Treasure Room",treasure_room
"Break Da Bank Again",break_da_bank_again
"Planet Fortune",planet_fortune
"Spin Sorceress",spin_sorceress
"Doggy Reel Bingo",doggy_reel_bingo
"Esqueleto Explosivo",esqueleto_explosivo
"Xmas Magic",xmas_magic
"Blood Lore Vampire Clan",blood_lore_vampire_clan
"Polar Paws",polar_paws
"Aztec Warrior Princess",aztec_warrior_princess
Crocodopolis,crocodopolis
Illuminous,illuminous
"Trolls Bridge",trolls_bridge
Demon,demon
"Book of Souls",book_of_souls
Hellboy,hellboy
CyrusTheVirus,cyrusthevirus
"Mystery Fruit",mystery_fruit
"It's Time",its_time
"Asian Beauty",asian_beauty
"Carnival Royale",carnival_royale
"Nordic Summer",nordic_summer
"Basketball Star",basketball_star
Attraction,attraction
"Fruit Case",fruit_case
"Golden Colts",golden_colts
"Moon Princess",moon_princess
"Jazz of New Orleans",jazz_of_new_orleans
"Cool Wolf",cool_wolf
"Jungle Mystery",jungle_mystery
"Danger! High Voltage",danger_high_voltage
"Blood Suckers II",blood_suckers_ii
"Rainbow Riches Pick'n'Mix",rainbow_riches_picknmix
"The Invisible Man",the_invisible_man
"Mighty Arthur",mighty_arthur
Elements,elements
"Alien Robots",alien_robots
"At the Movies",at_the_movies
"Ignite the Night",ignite_the_night
"Voodoo Vibes",voodoo_vibes
"Pied Piper",pied_piper
"Warlords: Crystals of Power",warlords_crystals_of_power
"Fire Opals",fire_opals
Ivanhoe,ivanhoe
Doubles,doubles
"Dragon Drop",dragon_drop
"Cowboy Treasure",cowboy_treasure
Valhalla,valhalla
"Pumpkin Smash",pumpkin_smash
"Football 2008",football_2008
"Couch Potato",couch_potato
Firestorm,firestorm
Tycoons,tycoons
"The Ghouls",the_ghouls
"Bill & Ted's Excellent Adventure",bill_teds_excellent_adventure
"Showdown Saloon",showdown_saloon
Scarface,scarface
"Ned and his Friends",ned_and_his_friends
"Twin Spin",twin_spin
"Gods of Olympus Megaways",gods_of_olympus_megaways
"Wizard of Gems",wizard_of_gems
"Cherry Red",cherry_red
"Gold Rush",gold_rush
"Laser Fruit",laser_fruit
Thunderstruck,thunderstruck
Cluedo,cluedo
"Eastern Emeralds",eastern_emeralds
"Dr Fortuno",dr_fortuno
"A While on the Nile",a_while_on_the_nile
"Love Island",love_island
"Wild Witches",wild_witches
"Gunslinger Reloaded",gunslinger_reloaded
"Lady of Egypt",lady_of_egypt
"Rainbow Riches Freespins",rainbow_riches_freespins
"Go Bananas",go_bananas
"Crazy Chameleons",crazy_chameleons
"Wild Tome of the Woods",wild_tome_of_the_woods
"Secret Code",secret_code
"Chinese New Year",chinese_new_year
"The Epic Journey",the_epic_journey
"Six Acrobats",six_acrobats
"Tiki wonders",tiki_wonders
"Prosperity Twin",prosperity_twin
"Blood Suckers",blood_suckers
"Castle Builder II",castle_builder_ii
"Jackpot 6000",jackpot_6000
"Hong Kong Tower",hong_kong_tower
"Dino Might",dino_might
"Rome Rise of an Empire",rome_rise_of_an_empire
"Little Red Riding Hood",little_red_riding_hood
"Emperor of the Sea",emperor_of_the_sea
"Andre the Giant",andre_the_giant
"Cabin Fever",cabin_fever
"9 Masks of Fire",9_masks_of_fire
"Big Bang",big_bang
"Double Magic",double_magic
"Cloud Quest",cloud_quest
"Cosmic Invaders",cosmic_invaders
"Ghostbusters Plus",ghostbusters_plus
Scrooge,scrooge
"Great Wild Elk",great_wild_elk
"Mr. Vegas",mr_vegas
"Big Top",big_top
"True Illusions",true_illusions
"Arabian Caravan",arabian_caravan
"GiG Games Roulette",gig_games_roulette
"Sweet Bonanza",sweet_bonanza
Frankenstein,frankenstein
"Mirror Magic",mirror_magic
"Book of Santa",book_of_santa
Lost,lost
"Wishing you fortune",wishing_you_fortune
"Hot Sync",hot_sync
"Hall of Gods",hall_of_gods
Fisticuffs,fisticuffs
"Gold Diggers",gold_diggers
"Butterfly Staxx",butterfly_staxx
"Hugo's Adventure",hugos_adventure
"Gonzo's Quest",gonzos_quest
"Groovy Sixties",groovy_sixties
"Call of the Colosseum",call_of_the_colosseum
"Sunny Shores",sunny_shores
"Justice League",justice_league
"Fire 'N Fortune",fire_n_fortune
"Pyramid: Quest for Immortality",pyramid_quest_for_immortality
"Hanzo's Dojo",hanzos_dojo
"Dragon Maiden",dragon_maiden
"Beat Bots",beat_bots
Sinbad,sinbad
Subtopia,subtopia
"Dubya Money",dubya_money
"Lucky Twins",lucky_twins
"Royal Masquerade",royal_masquerade
"Arctic Magic",arctic_magic
"Cosmic Cat",cosmic_cat
RockStar,rockstar
"Sunny Scoops",sunny_scoops
"88 Fortunes",88_fortunes
"Golden Hen",golden_hen
"Beauty and the Beast",beauty_and_the_beast
"Scruffy Duck",scruffy_duck
Nirvana,nirvana
Bullseye,bullseye
"Fire Joker",fire_joker
"Chief's Magic",chiefs_magic
"Slots Angels",slots_angels
"King Kong",king_kong
PopStar,popstar
"ZEUS God of Thunder",zeus_god_of_thunder
"Secret of the Stones",secret_of_the_stones
"Sin City Nights",sin_city_nights
"Champion of the track",champion_of_the_track
"Holmes and the Stolen Stones",holmes_and_the_stolen_stones
"Shogun of Time",shogun_of_time
"Ravens Eye",ravens_eye
"Mystical Santa Megaways",mystical_santa_megaways
"Rainforest Magic",rainforest_magic
Hugo,hugo
"Jungle Books",jungle_books
Cygnus,cygnus
"Jungle Games",jungle_games
"Beetle Frenzy",beetle_frenzy
"Secrets of Atlantis",secrets_of_atlantis
"1429 Uncharted Seas",1429_uncharted_seas
"Mermaids Millions",mermaids_millions
"Jackpot Raiders",jackpot_raiders
"Secret Romance",secret_romance
"Super Nudge 6000",super_nudge_6000
"Guns N' Roses",guns_n_roses
"Ming Dynasty",ming_dynasty
"Lasse Åbergs Sällskapsresor",lasse_abergs_sallskapsresor
"Raging Rex",raging_rex
"Ring the Bells",ring_the_bells
"Vikings Go Wild",vikings_go_wild
"Mad Scientist",mad_scientist
"Wolf Cub",wolf_cub
"Northern Sky",northern_sky
"Cazino Cosmos",cazino_cosmos
"Alaxe in Zombieland",alaxe_in_zombieland
"Deck The Halls",deck_the_halls
"The Exterminator",the_exterminator
"Legend of the White Snake Lady",legend_of_the_white_snake_lady
"Football: Champions Cup",football_champions_cup
"Piggy Bank",piggy_bank
Tarzan,tarzan
"MONOPOLY Bring the House Down",monopoly_bring_the_house_down
"Animal Farm",animal_farm
"The Three Musketeers",the_three_musketeers
"Super Sumo",super_sumo
Medusa,medusa
"Pacific Attack",pacific_attack
Heist,heist
"Emerald Isle",emerald_isle
Conan,conan
"Lil Lady",lil_lady
Flowers,flowers
"Mega Moolah",mega_moolah
"Space Wars",space_wars
"Goldwyns Fairies",goldwyns_fairies
Victorious,victorious
