Name,"Short Name"
"Tropezia Palace",tropeziapalace
"Mummys Gold",mummysgold
"Buck & Butler",buckbutler
"Amsterdams Casino",amsterdams
"Frank Casino",frankcasino
SverigeKronan,sverigekronan
Redbet,redbet
"Prime Slots",primeslots
Spilleren,spilleren
Bethard,bethard
Betser,betser
"Casino Calzone",casinocalzone
Karamba,karamba
"Larry Casino",larrycasino
NorgesCasino,norgescasino
"Norske Automater",norskeautomater
OlyBet,olybet
PlayHippo,playhippo
"Royal Panda",royalpanda
Wunderino,wunderino
CasinoEuro,casinoeuro
Spintastic,spintastic
Codeta,codeta
Cashmio,cashmio
"Mucho Vegas",muchovegas
"Mr Win",mrwin
"Jackpot Knights",jackpotknights
"Miami Dice",miamidice
Cashiopeia,cashiopeia
"Voodoo Dreams",voodoodreams
"Metal Casino",metal
"Unique Casino",uniquecasino
"Shadow Bet",shadowbet
Snabbare,snabbare
PAF,paf
"Chance Hill",chancehill
"Vegas Hero",vegashero
Wixstars,wixstars
"Mr Play",mrplay
"Twin Casino",twincasino
Reeltastic,reeltastic
"Casino Cruise",casinocruise
Casinoland,casinoland
"Kaboo Casino",kaboo
Casimba,casimba
SveaCasino,sveacasino
EuroLotto,eurolotto
LuckyDino,luckydino
"Monte-Carlo Casino",montecarlo
SverigeCasino,sverigecasino
"Maria Casino",maria
"Omnia Casino",omniacasino
"Rizk Casino",rizk
EnergyCasino,energycasino
"888 Casino",888casino
Storspelare,storspelare
LeoVegas,leovegas
PlayOjo,playojo
"Casino And Friends",casinoandfriends
Casino.com,casinocom
CasinoLuck,casinoluck
LetsBet,letsbet
iGame,igame
InstaCasino,instacasino
"Magic Red",magicred
"Play Club",playclub
"Gem Slots",gemslots
Spinit,spinit
Betway,betway
"Spin Station",spinstation
PlayFrank,playfrank
Luckland,luckland
CasinoPop,casinopop
"BGO Casino",bgo
"Vinnare Casino",vinnarecasino
"Casino Jefe",casinojefe
"Vera & John",verajohn
"Thrills Casino",thrills
Unibet,unibet
Slotsons,slotsons
Betsafe,betsafe
Betsson,betsson
"Casino Heroes",casinoheroes
Casumo,casumo
"Mr Green",mrgreen
SlotsMillion,slotsmillion
"Wild Wins",wildwins
"Dream Vegas",dreamvegas
"Cherry Casino",cherrycasino
Vinnarum,vinnarum
"GoWild casino",gowild
"Joreels Casino",joreels
JackpotCity,jackpotcity
Ladbrokes,ladbrokes
"Svedala Casino",svedalacasino
Spinland,spinland
"Bob Casino",bobcasino
Playamo,playamo
